Ht (norm),Wt (norm),40yd (norm),Vertical (norm),Bench (norm),Broad Jump (norm),3Cone (norm),Shutle (norm)
1.566159488,0.825619498,0.919512229,0.011179627,0.400060012,-0.022755482,-2,-2
-2.462115592,-0.524534392,0.018752655,-0.487576007,0.209076589,-1.020326467,0.183720762,-0.067902366
0.894780308,0.075534003,0.499157761,-1.318835396,-2,-0.189017313,-0.235249259,0.782018929
-0.447978052,0.000525454,0.85946159,-0.653827885,-1.318790793,-0.355279144,-0.584390943,-0.917823661
-1.119357232,-0.524534392,0.078803294,-2,0.209076589,-2,-2,-2
-1.119357232,0.750610949,-0.521703089,0.011179627,-1.12780737,-0.189017313,1.161317477,1.472579981
0.223401128,2.850850334,0.078803294,-2,0.782026858,-2,-2,-2
-1.119357232,-0.074483096,0.979562867,0.011179627,-0.172890256,-0.022755482,0.078978257,-0.811583499
0.223401128,-1.049594239,0.739360314,-1.318835396,-0.363873679,-0.355279144,-0.758961785,-0.599103175
2.237538668,1.200662245,0.85946159,-2.482598542,-1.318790793,-1.352850129,0.742347457,0.675778767
0.223401128,1.725722092,-0.761905641,-2,1.163993703,-2,-2,-2
0.894780308,-0.82456859,-0.701855003,-0.653827885,-0.554857102,-0.355279144,-1.212845974,-0.014782285
2.237538668,0.150542553,0.078803294,-0.321324129,-1.12780737,-1.020326467,0.078978257,-0.121022447
0.223401128,-0.749560041,-1.662665215,0.177431505,0.018093166,-0.022755482,-1.457245153,-0.599103175
0.223401128,-0.374517293,0.679309676,-1.152583518,-1.891741062,-0.189017313,-0.933532627,0.463298443
1.566159488,1.500696443,-0.46165245,0.676187139,0.400060012,1.639862826,1.510459162,0.675778767
1.566159488,-0.299508744,-1.782766491,0.177431505,-2,0.974815503,-1.143017637,-1.395904389
-0.447978052,-0.674551491,-1.002108194,0.509935261,0.209076589,0.642291841,0.00914992,-0.28038269
-0.447978052,-1.049594239,-2.383272873,1.174942773,0.400060012,0.47603001,-1.387416816,-0.386622851
-1.790736412,-0.074483096,0.739360314,-0.98633164,-0.363873679,-1.51911196,1.54537333,0.569538605
-1.119357232,0.450576751,-0.82195628,0.011179627,2.691861086,-0.189017313,-0.165420922,0.091457877
0.223401128,0.675602399,0.979562867,-0.98633164,0.97301028,-0.854064637,0.253549099,0.994499253
1.566159488,-0.599542942,-0.221449897,-2,-0.745840525,-2,-2,-2
-0.447978052,-0.89957714,-0.641804365,-0.820079762,0.97301028,-0.022755482,-1.003360964,-0.28038269
0.894780308,0.075534003,2.300676908,-0.321324129,-0.936823948,-0.854064637,1.056574972,1.153859495
0.894780308,0.750610949,-0.281500536,0.509935261,-0.745840525,1.473600995,-1.457245153,-0.917823661
-1.119357232,0.000525454,0.258955208,-2,1.545960549,-2,-2,-2
-0.447978052,-0.974585689,-0.942057556,1.341194651,1.545960549,0.143506348,-1.038275132,-1.608384713
-1.119357232,-0.224500194,-0.341551174,-0.653827885,0.591043435,0.143506348,0.67251912,0.091457877
-0.447978052,-0.674551491,-0.882006918,-0.98633164,-0.745840525,-0.355279144,-0.060678417,-0.970943742
-1.790736412,-0.89957714,0.679309676,-1.318835396,0.591043435,-1.020326467,0.707433288,0.516418524
0.894780308,-0.89957714,-0.761905641,0.011179627,-1.12780737,1.141077333,-0.689133448,0.888259091
0.223401128,-0.449525843,0.319005847,-0.487576007,0.400060012,0.642291841,-1.212845974,-0.28038269
-1.119357232,-1.124602788,-1.662665215,-0.820079762,1.545960549,0.309768179,-1.038275132,-1.927105198
0.223401128,-1.199611338,-0.942057556,1.174942773,-1.12780737,0.642291841,-1.247760143,-1.236544146
1.566159488,-0.374517293,-0.942057556,0.676187139,-2,-0.355279144,-0.409820101,-0.86470358
-1.119357232,-1.124602788,0.499157761,-0.155072251,0.209076589,0.47603001,-1.108103469,-0.917823661
-1.119357232,0.825619498,0.799410952,-2,-0.363873679,-2,-2,-2
-1.119357232,0.900628048,0.018752655,-2,2.691861086,-2,-2,-2
-1.119357232,-0.974585689,-0.641804365,0.177431505,-0.554857102,-0.022755482,-1.143017637,0.197698039
-1.119357232,-1.049594239,0.018752655,1.507446529,-0.172890256,-0.189017313,-1.143017637,-2.192705603
-1.119357232,0.375568201,-0.882006918,-2,-0.936823948,-2,-2,-2
0.223401128,0.60059385,0.379056485,-1.318835396,0.400060012,-0.022755482,1.929429182,1.844420547
0.894780308,-0.599542942,-2.683526064,-2,0.209076589,-2,-2,-2
-1.119357232,-0.599542942,0.979562867,0.011179627,1.545960549,-0.189017313,-0.270163427,0.569538605
-1.790736412,-0.82456859,-0.341551174,-2,1.163993703,-2,-2,-2
1.566159488,-0.224500194,-1.902867767,1.507446529,0.400060012,1.307339164,0.532862446,0.941379172
